team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
Toronto Blue Jays,Exhibition Stadium,2110009,1984,AL,TOR,2,163,89,73,750,5687,1555,123,3.86,34,10,33,4392,1433,140,528,875,0.98,104
New York Yankees,Yankee Stadium II,1821815,1984,AL,NYA,3,162,87,75,758,5661,1560,142,3.78,15,12,43,4395,1485,120,518,992,0.97,96
Boston Red Sox,Fenway Park II,1661618,1984,AL,BOS,4,162,86,76,810,5648,1598,143,4.18,40,12,32,4326,1524,141,517,927,0.97,105
Baltimore Orioles,Memorial Stadium,2045784,1984,AL,BAL,5,162,85,77,681,5456,1374,123,3.71,48,13,32,4317,1393,137,512,714,0.98,98
Cleveland Indians,Cleveland Stadium,734079,1984,AL,CLE,6,163,75,87,761,5643,1498,146,4.26,21,7,35,4401,1523,141,545,803,0.97,102
Milwaukee Brewers,County Stadium,1608509,1984,AL,ML4,7,161,67,94,641,5511,1446,136,4.06,13,7,41,4299,1532,137,480,785,0.97,96
Kansas City Royals,Royals Stadium,1810018,1984,AL,KCA,1,162,84,78,673,5543,1487,129,3.92,18,9,50,4332,1426,136,433,724,0.98,100
California Angels,Anaheim Stadium,2402997,1984,AL,CAL,2,162,81,81,696,5470,1363,128,3.96,36,12,26,4374,1526,143,474,754,0.98,100
Minnesota Twins,Hubert H Humphrey Metrodome,1598692,1984,AL,MIN,2,162,81,81,673,5562,1473,120,3.85,32,9,38,4311,1429,159,463,713,0.98,104
Oakland Athletics,Oakland Coliseum,1353281,1984,AL,OAK,4,162,77,85,738,5457,1415,146,4.48,15,6,44,4290,1554,155,592,695,0.97,93
Chicago White Sox,Comiskey Park,2136988,1984,AL,CHA,5,162,74,88,679,5513,1360,122,4.13,43,9,32,4362,1416,155,483,840,0.98,105
Seattle Mariners,Kingdome,870372,1984,AL,SEA,5,162,74,88,682,5546,1429,126,4.31,26,4,35,4326,1497,138,619,972,0.97,98
Texas Rangers,Arlington Stadium,1102471,1984,AL,TEX,7,161,69,92,656,5569,1452,138,3.91,38,6,21,4314,1443,148,518,863,0.97,103
Chicago Cubs,Wrigley Field,2107655,1984,NL,CHN,1,161,96,65,762,5437,1415,121,3.75,19,8,50,4302,1458,99,442,879,0.98,108
New York Mets,Shea Stadium,1842695,1984,NL,NYN,2,162,90,72,652,5438,1400,129,3.6,12,15,50,4326,1371,104,573,1028,0.97,99
St. Louis Cardinals,Busch Stadium II,2037448,1984,NL,SLN,3,162,84,78,652,5433,1369,118,3.58,19,12,51,4347,1427,94,494,808,0.98,98
Philadelphia Phillies,Veterans Stadium,2062693,1984,NL,PHI,4,162,81,81,720,5614,1494,161,3.62,11,6,35,4374,1416,101,448,904,0.97,102
Montreal Expos,Stade Olympique,1606531,1984,NL,MON,5,161,78,83,593,5439,1367,132,3.31,19,10,48,4293,1333,114,474,861,0.97,96
Pittsburgh Pirates,Three Rivers Stadium,773500,1984,NL,PIT,6,162,75,87,615,5537,1412,128,3.11,27,13,34,4410,1344,102,502,995,0.98,101
San Diego Padres,Jack Murphy Stadium,1983904,1984,NL,SDN,1,162,92,70,686,5504,1425,138,3.48,13,17,44,4380,1327,122,563,812,0.97,100
Atlanta Braves,Atlanta-Fulton County Stadium,1724892,1984,NL,ATL,2,162,80,82,632,5422,1338,139,3.57,17,7,49,4341,1401,122,525,859,0.97,107
Houston Astros,Astrodome,1229862,1984,NL,HOU,2,162,80,82,693,5548,1465,133,3.32,24,13,29,4347,1350,91,502,950,0.97,92
Los Angeles Dodgers,Dodger Stadium,3134824,1984,NL,LAN,4,162,79,83,580,5399,1316,163,3.17,39,16,27,4380,1381,76,499,1033,0.97,98
Cincinnati Reds,Riverfront Stadium,1275887,1984,NL,CIN,5,162,70,92,627,5498,1342,139,4.16,25,6,25,4383,1445,128,578,946,0.97,104
San Francisco Giants,Candlestick Park,1001545,1984,NL,SFN,6,162,66,96,682,5650,1499,169,4.39,9,7,38,4383,1589,125,549,854,0.97,97
Toronto Blue Jays,Exhibition Stadium,2468925,1985,AL,TOR,1,161,99,62,759,5508,1482,125,3.31,18,9,47,4344,1312,147,484,823,0.98,104
New York Yankees,Yankee Stadium II,2214587,1985,AL,NYA,2,161,97,64,839,5458,1458,123,3.69,25,9,49,4320,1373,157,518,907,0.97,98
Detroit Tigers,Tiger Stadium,2286609,1985,AL,DET,3,161,84,77,729,5575,1413,141,3.78,31,11,40,4368,1313,141,556,943,0.97,100
Baltimore Orioles,Memorial Stadium,2132387,1985,AL,BAL,4,161,83,78,818,5517,1451,115,4.38,32,6,33,4281,1480,160,568,793,0.98,97
Boston Red Sox,Fenway Park II,1786633,1985,AL,BOS,5,163,81,81,800,5720,1615,145,4.06,35,8,29,4383,1487,130,540,913,0.97,104
Milwaukee Brewers,County Stadium,1360265,1985,AL,ML4,6,161,71,90,690,5568,1467,142,4.39,34,5,37,4311,1510,175,499,777,0.97,100
Cleveland Indians,Cleveland Stadium,655181,1985,AL,CLE,7,162,60,102,729,5527,1465,141,4.91,24,7,28,4263,1556,170,547,702,0.97,99
Kansas City Royals,Royals Stadium,2162717,1985,AL,KCA,1,162,91,71,687,5500,1384,127,3.49,27,11,41,4383,1433,103,463,846,0.98,100
California Angels,Anaheim Stadium,2567427,1985,AL,CAL,2,162,90,72,732,5442,1364,112,3.91,22,8,41,4371,1453,171,514,767,0.98,100
Chicago White Sox,Comiskey Park,1669888,1985,AL,CHA,3,163,85,77,736,5470,1386,111,4.07,20,8,39,4353,1411,161,569,1023,0.98,104
Minnesota Twins,Hubert H Humphrey Metrodome,1651814,1985,AL,MIN,4,162,77,85,705,5509,1453,120,4.48,41,7,34,4278,1468,164,462,767,0.98,105
Oakland Athletics,Oakland Coliseum,1334599,1985,AL,OAK,4,162,77,85,757,5581,1475,140,4.41,10,6,41,4359,1451,172,607,785,0.97,92
Seattle Mariners,Kingdome,1128696,1985,AL,SEA,6,162,74,88,719,5521,1410,122,4.68,23,8,30,4296,1456,154,637,868,0.98,100
Texas Rangers,Arlington Stadium,1112497,1985,AL,TEX,7,161,62,99,617,5361,1359,119,4.56,18,5,33,4233,1479,173,501,863,0.98,101
St. Louis Cardinals,Busch Stadium II,2637563,1985,NL,SLN,1,162,101,61,747,5467,1446,108,3.1,37,20,44,4392,1343,98,453,798,0.98,100
New York Mets,Shea Stadium,2761601,1985,NL,NYN,2,162,98,64,695,5549,1425,115,3.11,32,19,37,4464,1306,111,515,1039,0.98,99
Montreal Expos,Stade Olympique,1502494,1985,NL,MON,3,161,84,77,633,5429,1342,121,3.55,13,13,53,4371,1346,99,509,870,0.98,95
Chicago Cubs,Wrigley Field,2161534,1985,NL,CHN,4,162,77,84,686,5492,1397,134,4.16,20,8,42,4326,1492,156,519,820,0.97,110
Philadelphia Phillies,Veterans Stadium,1830350,1985,NL,PHI,5,162,75,87,667,5477,1343,139,3.68,24,9,30,4341,1424,115,596,899,0.97,103
Pittsburgh Pirates,Three Rivers Stadium,735900,1985,NL,PIT,6,161,57,104,568,5436,1340,133,3.97,15,6,29,4335,1406,107,584,962,0.97,99
Los Angeles Dodgers,Dodger Stadium,3264593,1985,NL,LAN,1,162,95,67,682,5502,1434,166,2.96,37,21,36,4395,1280,102,462,979,0.97,97
Cincinnati Reds,Riverfront Stadium,1834619,1985,NL,CIN,2,162,89,72,677,5431,1385,121,3.71,24,11,45,4353,1347,131,535,910,0.98,104
Houston Astros,Astrodome,1184314,1985,NL,HOU,3,162,83,79,706,5582,1457,152,3.66,17,9,42,4374,1393,119,543,909,0.97,97
San Diego Padres,Jack Murphy Stadium,2210352,1985,NL,SDN,3,162,83,79,650,5507,1405,124,3.4,26,19,44,4353,1399,127,443,727,0.98,99
Atlanta Braves,Atlanta-Fulton County Stadium,1350137,1985,NL,ATL,5,162,66,96,632,5526,1359,159,4.19,9,9,29,4371,1512,134,642,776,0.97,105
San Francisco Giants,Candlestick Park,818697,1985,NL,SFN,6,162,62,100,556,5420,1263,144,3.61,13,5,24,4344,1348,125,572,985,0.97,95
Boston Red Sox,Fenway Park II,2147641,1986,AL,BOS,1,161,95,66,794,5498,1488,129,3.93,36,6,41,4287,1469,167,474,1033,0.97,101
New York Yankees,Yankee Stadium II,2268030,1986,AL,NYA,2,162,90,72,797,5570,1512,127,4.11,13,8,58,4329,1461,175,492,878,0.97,99
Detroit Tigers,Tiger Stadium,1899437,1986,AL,DET,3,162,87,75,798,5512,1447,108,4.02,33,12,38,4329,1374,183,571,880,0.98,100
Toronto Blue Jays,Exhibition Stadium,2455477,1986,AL,TOR,4,163,86,76,809,5716,1540,100,4.08,16,12,44,4428,1467,164,487,1002,0.98,103
Cleveland Indians,Cleveland Stadium,1471805,1986,AL,CLE,5,163,84,78,831,5702,1620,156,4.58,31,7,34,4341,1548,167,605,744,0.97,98
Milwaukee Brewers,County Stadium,1265041,1986,AL,ML4,6,161,77,84,667,5461,1393,146,4.01,29,12,32,4293,1478,158,494,952,0.97,103
Baltimore Orioles,Memorial Stadium,1973176,1986,AL,BAL,7,162,73,89,708,5524,1425,135,4.3,17,6,39,4308,1451,177,535,954,0.97,98
California Angels,Anaheim Stadium,2655872,1986,AL,CAL,1,162,92,70,786,5433,1387,107,3.84,29,12,40,4368,1356,153,478,955,0.98,99
Texas Rangers,Arlington Stadium,1692002,1986,AL,TEX,2,162,87,75,771,5529,1479,120,4.11,15,8,41,4350,1356,145,736,1059,0.98,102
Kansas City Royals,Royals Stadium,2320794,1986,AL,KCA,3,162,76,86,654,5561,1403,123,3.82,24,13,31,4320,1413,121,479,888,0.98,102
Oakland Athletics,Oakland Coliseum,1314646,1986,AL,OAK,3,162,76,86,731,5435,1370,135,4.31,22,8,37,4299,1334,166,667,937,0.97,92
Chicago White Sox,Comiskey Park,1424313,1986,AL,CHA,5,162,72,90,644,5406,1335,117,3.93,18,8,38,4326,1361,143,561,895,0.98,104
Minnesota Twins,Hubert H Humphrey Metrodome,1255453,1986,AL,MIN,6,162,71,91,741,5531,1446,118,4.77,39,6,24,4296,1579,200,503,937,0.98,102
Seattle Mariners,Kingdome,1029045,1986,AL,SEA,7,162,67,95,718,5498,1392,156,4.65,33,5,27,4317,1590,171,585,944,0.97,100
New York Mets,Shea Stadium,2767601,1986,NL,NYN,1,162,108,54,783,5558,1462,138,3.11,27,11,46,4452,1304,103,509,1083,0.97,98
Philadelphia Phillies,Veterans Stadium,1933335,1986,NL,PHI,2,161,86,75,739,5483,1386,137,3.85,22,11,39,4353,1473,130,553,874,0.97,104
St. Louis Cardinals,Busch Stadium II,2471974,1986,NL,SLN,3,161,79,82,601,5378,1270,123,3.37,17,4,46,4398,1364,135,485,761,0.98,100
Montreal Expos,Stade Olympique,1128981,1986,NL,MON,4,161,78,83,637,5508,1401,133,3.78,15,9,50,4398,1350,119,566,1051,0.97,100
Chicago Cubs,Wrigley Field,1859102,1986,NL,CHN,5,160,70,90,680,5499,1409,124,4.49,11,6,42,4335,1546,143,557,962,0.98,107
Pittsburgh Pirates,Three Rivers Stadium,1000917,1986,NL,PIT,6,162,64,98,663,5456,1366,142,3.9,17,9,30,4350,1397,138,570,924,0.97,102
Houston Astros,Astrodome,1734276,1986,NL,HOU,1,162,96,66,654,5441,1388,130,3.15,18,19,51,4368,1203,116,523,1160,0.97,97
Cincinnati Reds,Riverfront Stadium,1692432,1986,NL,CIN,2,162,86,76,732,5536,1404,140,3.91,14,8,45,4404,1465,136,524,924,0.97,104
San Francisco Giants,Candlestick Park,1528748,1986,NL,SFN,3,162,83,79,698,5501,1394,143,3.33,18,10,35,4380,1264,121,591,992,0.97,95
San Diego Padres,Jack Murphy Stadium,1805716,1986,NL,SDN,4,162,74,88,656,5515,1442,135,3.99,13,7,32,4329,1406,150,607,934,0.97,98
Los Angeles Dodgers,Dodger Stadium,3023208,1986,NL,LAN,5,162,73,89,638,5471,1373,179,3.76,35,14,25,4362,1428,115,499,1051,0.97,93
Atlanta Braves,Atlanta-Fulton County Stadium,1387181,1986,NL,ATL,6,161,72,89,615,5384,1348,141,3.97,17,5,39,4272,1443,117,576,932,0.97,105
Detroit Tigers,Tiger Stadium,2061830,1987,AL,DET,1,162,98,64,896,5649,1535,122,4.02,33,10,31,4368,1430,180,563,976,0.98,96
Toronto Blue Jays,Exhibition Stadium,2778429,1987,AL,TOR,2,162,96,66,845,5635,1514,111,3.74,18,8,43,4362,1323,158,567,1064,0.98,102
Milwaukee Brewers,County Stadium,1909244,1987,AL,ML4,3,162,91,71,862,5625,1552,145,4.62,28,6,45,4392,1548,169,529,1039,0.97,103
New York Yankees,Yankee Stadium II,2427672,1987,AL,NYA,4,162,89,73,788,5511,1445,102,4.36,19,10,47,4338,1475,179,542,900,0.98,99
Boston Red Sox,Fenway Park II,2231551,1987,AL,BOS,5,162,78,84,842,5586,1554,110,4.77,47,13,16,4308,1584,190,517,1034,0.98,103
Baltimore Orioles,Memorial Stadium,1835692,1987,AL,BAL,6,162,67,95,729,5576,1437,109,5.01,17,6,30,4317,1555,226,547,870,0.98,97
Cleveland Indians,Cleveland Stadium,1077898,1987,AL,CLE,7,162,61,101,742,5606,1476,152,5.28,24,8,25,4266,1566,219,606,849,0.97,100
Minnesota Twins,Hubert H Humphrey Metrodome,2081976,1987,AL,MIN,1,162,85,77,786,5441,1422,98,4.63,16,4,39,4281,1465,210,564,990,0.98,103
Kansas City Royals,Royals Stadium,2392471,1987,AL,KCA,2,162,83,79,715,5499,1443,131,3.86,44,11,26,4272,1424,128,548,923,0.97,102
Oakland Athletics,Oakland Coliseum,1678921,1987,AL,OAK,3,162,81,81,806,5511,1432,142,4.32,18,6,40,4335,1442,176,531,1042,0.97,93
Seattle Mariners,Kingdome,1134255,1987,AL,SEA,4,162,78,84,760,5508,1499,121,4.49,39,10,33,4290,1503,199,497,919,0.98,105
Chicago White Sox,Comiskey Park,1208060,1987,AL,CHA,5,162,77,85,748,5538,1427,115,4.3,29,12,37,4341,1436,189,537,792,0.98,103
California Angels,Anaheim Stadium,2696299,1987,AL,CAL,6,162,75,87,770,5570,1406,117,4.38,20,7,36,4371,1481,212,504,941,0.98,97
Texas Rangers,Arlington Stadium,1763053,1987,AL,TEX,6,162,75,87,823,5564,1478,148,4.63,20,3,27,4332,1388,199,760,1103,0.97,100
St. Louis Cardinals,Busch Stadium II,3072122,1987,NL,SLN,1,162,95,67,798,5500,1449,116,3.91,10,7,48,4398,1484,129,533,873,0.98,102
New York Mets,Shea Stadium,3034129,1987,NL,NYN,2,162,92,70,823,5601,1499,137,3.84,16,7,51,4362,1407,135,510,1032,0.97,95
Montreal Expos,Stade Olympique,1850324,1987,NL,MON,3,162,91,71,741,5527,1467,147,3.92,16,8,50,4350,1428,145,446,1012,0.97,103
Philadelphia Phillies,Veterans Stadium,2100110,1987,NL,PHI,4,162,80,82,702,5475,1390,121,4.18,13,7,48,4344,1453,167,587,877,0.98,103
Pittsburgh Pirates,Three Rivers Stadium,1161193,1987,NL,PIT,4,162,80,82,723,5536,1464,123,4.2,25,13,39,4335,1377,164,562,914,0.98,100
Chicago Cubs,Wrigley Field,2035130,1987,NL,CHN,6,161,76,85,720,5583,1475,130,4.55,11,5,48,4302,1524,159,628,1024,0.97,103
San Francisco Giants,Candlestick Park,1917168,1987,NL,SFN,1,162,90,72,783,5608,1458,129,3.68,19,10,38,4413,1407,146,547,1038,0.98,96
Cincinnati Reds,Riverfront Stadium,2185205,1987,NL,CIN,2,162,84,78,783,5560,1478,128,4.24,7,6,44,4356,1486,170,485,919,0.97,104
Houston Astros,Astrodome,1909902,1987,NL,HOU,3,162,76,86,648,5485,1386,115,3.84,13,13,33,4323,1363,141,525,1137,0.98,96
Los Angeles Dodgers,Dodger Stadium,2797409,1987,NL,LAN,4,162,73,89,635,5517,1389,155,3.72,29,8,32,4365,1415,130,565,1097,0.97,98
Atlanta Braves,Atlanta-Fulton County Stadium,1217402,1987,NL,ATL,5,161,69,92,747,5428,1401,116,4.63,16,4,32,4281,1529,163,587,837,0.98,104
San Diego Padres,Jack Murphy Stadium,1454061,1987,NL,SDN,6,162,65,97,668,5456,1419,146,4.27,14,10,33,4299,1402,175,602,897,0.97,96
Boston Red Sox,Fenway Park II,2464851,1988,AL,BOS,1,162,89,73,813,5545,1569,93,3.97,26,14,37,4278,1415,143,493,1085,0.98,105
Detroit Tigers,Tiger Stadium,2081162,1988,AL,DET,2,162,88,74,703,5433,1358,109,3.71,34,8,36,4335,1361,150,497,890,0.98,97
Milwaukee Brewers,County Stadium,1923238,1988,AL,ML4,3,162,87,75,682,5488,1409,120,3.45,30,8,51,4347,1355,125,437,832,0.98,101
Toronto Blue Jays,Exhibition Stadium,2595175,1988,AL,TOR,3,162,87,75,763,5557,1491,110,3.8,16,17,47,4347,1404,143,528,904,0.98,100
New York Yankees,Yankee Stadium II,2633701,1988,AL,NYA,5,161,85,76,772,5592,1469,134,4.26,16,5,43,4368,1512,157,487,861,0.97,99
Cleveland Indians,Cleveland Stadium,1411610,1988,AL,CLE,6,162,78,84,666,5505,1435,124,4.16,35,10,46,4302,1501,120,442,812,0.98,102
Baltimore Orioles,Memorial Stadium,1660738,1988,AL,BAL,7,161,54,107,550,5358,1275,118,4.54,20,7,26,4248,1506,153,523,709,0.98,97
Oakland Athletics,Oakland Coliseum,2287335,1988,AL,OAK,1,162,104,58,800,5602,1474,105,3.44,22,9,64,4467,1376,116,553,983,0.98,97
Minnesota Twins,Hubert H Humphrey Metrodome,3030672,1988,AL,MIN,2,162,91,71,759,5510,1508,83,3.93,18,9,52,4293,1457,146,453,897,0.98,103
Kansas City Royals,Royals Stadium,2350181,1988,AL,KCA,3,161,84,77,704,5469,1419,124,3.65,29,12,32,4284,1415,102,465,886,0.98,101
California Angels,Anaheim Stadium,2340925,1988,AL,CAL,4,162,75,87,714,5582,1458,135,4.32,26,9,33,4365,1503,135,568,817,0.97,97
Chicago White Sox,Comiskey Park,1115749,1988,AL,CHA,5,161,71,90,631,5449,1327,154,4.12,11,9,43,4317,1467,138,533,754,0.97,100
Texas Rangers,Arlington Stadium,1581901,1988,AL,TEX,6,161,70,91,637,5479,1378,129,4.05,41,11,31,4314,1310,129,654,912,0.97,102
Seattle Mariners,Kingdome,1022398,1988,AL,SEA,7,161,68,93,664,5436,1397,123,4.15,28,11,28,4284,1385,144,558,981,0.98,104
New York Mets,Shea Stadium,3055445,1988,NL,NYN,1,160,100,60,703,5408,1387,115,2.91,31,22,46,4317,1253,78,404,1100,0.98,95
Pittsburgh Pirates,Three Rivers Stadium,1866713,1988,NL,PIT,2,160,85,75,651,5379,1327,124,3.47,12,11,46,4320,1349,108,469,790,0.98,98
Montreal Expos,Stade Olympique,1478659,1988,NL,MON,3,163,81,81,628,5573,1400,142,3.08,18,12,43,4446,1310,122,476,923,0.97,104
Chicago Cubs,Wrigley Field,2089034,1988,NL,CHN,4,163,77,85,660,5675,1481,125,3.84,30,10,29,4392,1494,115,490,897,0.98,105
St. Louis Cardinals,Busch Stadium II,2892799,1988,NL,SLN,5,162,76,86,578,5518,1373,121,3.47,17,14,42,4410,1387,91,486,881,0.98,101
Philadelphia Phillies,Veterans Stadium,1990041,1988,NL,PHI,6,162,65,96,597,5403,1294,145,4.14,16,6,36,4299,1447,118,628,859,0.97,101
Los Angeles Dodgers,Dodger Stadium,2980262,1988,NL,LAN,1,162,94,67,628,5431,1346,142,2.96,32,24,49,4389,1291,84,473,1029,0.97,98
Cincinnati Reds,Riverfront Stadium,2072528,1988,NL,CIN,2,161,87,74,641,5426,1334,121,3.35,24,13,43,4365,1271,121,504,934,0.98,104
San Diego Padres,Jack Murphy Stadium,1506896,1988,NL,SDN,3,161,83,78,594,5366,1325,116,3.28,30,9,39,4347,1332,112,439,885,0.98,99
San Francisco Giants,Candlestick Park,1785297,1988,NL,SFN,4,162,83,79,670,5450,1353,129,3.39,25,13,42,4386,1323,99,422,875,0.98,96
Houston Astros,Astrodome,1933505,1988,NL,HOU,5,162,82,80,617,5494,1338,138,3.41,21,15,40,4422,1339,123,478,1049,0.97,96
Atlanta Braves,Atlanta-Fulton County Stadium,848089,1988,NL,ATL,6,160,54,106,555,5440,1319,151,4.09,14,4,25,4338,1481,108,524,810,0.97,104
Toronto Blue Jays,Exhibition Stadium /Skydome,3375883,1989,AL,TOR,1,162,89,73,731,5581,1449,126,3.58,12,12,38,4401,1408,99,478,849,0.98,94
Baltimore Orioles,Memorial Stadium,2535208,1989,AL,BAL,2,162,87,75,708,5440,1369,87,4,16,7,44,4344,1518,134,486,676,0.98,96
Boston Red Sox,Fenway Park II,2510012,1989,AL,BOS,3,162,83,79,774,5666,1571,127,4.01,14,9,42,4380,1448,131,548,1054,0.98,107
Milwaukee Brewers,County Stadium,1970735,1989,AL,ML4,4,162,81,81,707,5473,1415,155,3.8,16,8,45,4296,1463,129,457,812,0.97,99
New York Yankees,Yankee Stadium II,2170485,1989,AL,NYA,5,161,74,87,698,5458,1470,122,4.5,15,9,44,4242,1550,150,521,787,0.98,99
Cleveland Indians,Cleveland Stadium,1285542,1989,AL,CLE,6,162,73,89,604,5463,1340,118,3.65,23,13,38,4359,1423,107,452,844,0.98,101
Detroit Tigers,Tiger Stadium,1543656,1989,AL,DET,7,162,59,103,617,5432,1315,130,4.53,24,4,26,4281,1514,150,652,831,0.97,98
Oakland Athletics,Oakland Coliseum,2667225,1989,AL,OAK,1,162,99,63,712,5416,1414,129,3.09,17,20,57,4344,1287,103,510,930,0.97,97
Kansas City Royals,Royals Stadium,2477700,1989,AL,KCA,2,162,92,70,690,5475,1428,111,3.55,27,13,38,4353,1415,86,455,978,0.98,100
California Angels,Anaheim Stadium,2647291,1989,AL,CAL,3,162,91,71,669,5545,1422,96,3.28,32,20,38,4362,1384,113,465,897,0.98,98
Texas Rangers,Arlington Stadium,2043993,1989,AL,TEX,4,162,83,79,695,5458,1433,136,3.91,26,7,44,4302,1279,119,654,1112,0.97,102
Minnesota Twins,Hubert H Humphrey Metrodome,2277438,1989,AL,MIN,5,162,80,82,740,5581,1542,107,4.28,19,8,38,4287,1495,139,500,851,0.98,107
Seattle Mariners,Kingdome,1298443,1989,AL,SEA,6,162,73,89,694,5512,1417,143,4,15,10,44,4314,1422,114,560,897,0.97,103
Chicago White Sox,Comiskey Park,1045651,1989,AL,CHA,7,161,69,92,693,5504,1493,151,4.23,9,5,46,4266,1472,144,539,778,0.97,97
Chicago Cubs,Wrigley Field,2491942,1989,NL,CHN,1,162,93,69,702,5513,1438,119,3.43,18,10,55,4380,1369,106,532,918,0.98,108
New York Mets,Shea Stadium,2918710,1989,NL,NYN,2,162,87,75,683,5489,1351,144,3.29,24,12,38,4362,1260,115,532,1108,0.97,95
St. Louis Cardinals,Busch Stadium II,3080980,1989,NL,SLN,3,164,86,76,632,5492,1418,111,3.36,18,18,43,4383,1330,84,482,844,0.98,103
Montreal Expos,Stade Olympique,1783533,1989,NL,MON,4,162,81,81,632,5482,1353,136,3.48,20,13,35,4404,1344,120,519,1059,0.97,102
Pittsburgh Pirates,Three Rivers Stadium,1374141,1989,NL,PIT,5,164,74,88,637,5539,1334,160,3.64,20,9,40,4461,1394,121,539,827,0.97,96
Philadelphia Phillies,Veterans Stadium,1861985,1989,NL,PHI,6,163,67,95,629,5447,1324,133,4.04,10,10,33,4299,1408,127,613,899,0.97,99
San Francisco Giants,Candlestick Park,2059701,1989,NL,SFN,1,162,92,70,699,5469,1365,113,3.3,12,16,47,4371,1320,120,471,802,0.98,97
San Diego Padres,Jack Murphy Stadium,2009031,1989,NL,SDN,2,162,89,73,642,5422,1360,152,3.38,21,11,52,4371,1359,133,481,933,0.97,101
Houston Astros,Astrodome,1834908,1989,NL,HOU,3,162,86,76,647,5516,1316,140,3.64,19,12,38,4437,1379,105,551,965,0.97,97
Los Angeles Dodgers,Dodger Stadium,2944653,1989,NL,LAN,4,160,77,83,554,5465,1313,118,2.95,25,19,36,4389,1278,95,504,1052,0.98,99
Cincinnati Reds,Riverfront Stadium,1979320,1989,NL,CIN,5,162,75,87,632,5520,1362,121,3.73,16,9,37,4392,1404,125,559,981,0.98,104
Atlanta Braves,Atlanta-Fulton County Stadium,984930,1989,NL,ATL,6,161,63,97,584,5463,1281,152,3.7,15,8,33,4341,1370,114,468,966,0.97,102
Boston Red Sox,Fenway Park II,2528986,1990,AL,BOS,1,162,88,74,699,5516,1502,123,3.72,15,13,44,4326,1439,92,519,997,0.98,105
Toronto Blue Jays,Skydome,3885284,1990,AL,TOR,2,162,86,76,767,5589,1479,86,3.84,6,9,48,4362,1434,143,445,892,0.98,106
Detroit Tigers,Tiger Stadium,1495785,1990,AL,DET,3,162,79,83,750,5479,1418,131,4.39,15,12,45,4290,1401,154,661,856,0.97,101
Cleveland Indians,Cleveland Stadium,1225240,1990,AL,CLE,4,162,77,85,732,5485,1465,117,4.26,12,10,47,4281,1491,163,518,860,0.98,100
Baltimore Orioles,Memorial Stadium,2415189,1990,AL,BAL,5,161,76,85,669,5410,1328,91,4.04,10,5,43,4305,1445,161,537,776,0.98,97
Milwaukee Brewers,County Stadium,1752900,1990,AL,ML4,6,162,74,88,732,5503,1408,149,4.08,23,13,42,4335,1558,121,469,771,0.97,99
New York Yankees,Yankee Stadium II,2006436,1990,AL,NYA,7,162,67,95,603,5483,1322,126,4.21,15,6,41,4332,1430,144,618,909,0.98,100
Oakland Athletics,Oakland Coliseum,2900217,1990,AL,OAK,1,162,103,59,733,5433,1379,87,3.18,18,16,64,4368,1287,123,494,831,0.98,96
Chicago White Sox,Comiskey Park,2002357,1990,AL,CHA,2,162,94,68,682,5402,1393,124,3.61,17,10,68,4347,1313,106,548,914,0.98,98
Texas Rangers,Arlington Stadium,2057911,1990,AL,TEX,3,162,83,79,676,5469,1416,133,3.83,25,9,36,4332,1343,113,623,997,0.97,100
California Angels,Anaheim Stadium,2555688,1990,AL,CAL,4,162,80,82,690,5570,1448,140,3.79,21,13,42,4362,1482,106,544,944,0.97,97
Seattle Mariners,Kingdome,1509727,1990,AL,SEA,5,162,77,85,640,5474,1419,130,3.69,21,7,41,4329,1319,120,606,1064,0.97,101
Kansas City Royals,Royals Stadium,2244956,1990,AL,KCA,6,161,75,86,707,5488,1465,122,3.93,18,8,33,4260,1449,116,560,1006,0.98,98
Minnesota Twins,Hubert H Humphrey Metrodome,1751584,1990,AL,MIN,7,162,74,88,666,5499,1458,101,4.12,13,13,43,4305,1509,134,489,872,0.98,107
Pittsburgh Pirates,Three Rivers Stadium,2049908,1990,NL,PIT,1,162,95,67,733,5388,1395,134,3.4,18,8,43,4341,1367,135,413,848,0.97,96
New York Mets,Shea Stadium,2732745,1990,NL,NYN,2,162,91,71,775,5504,1410,132,3.42,18,14,41,4320,1339,119,444,1217,0.97,100
Montreal Expos,Stade Olympique,1373087,1990,NL,MON,3,162,85,77,662,5453,1363,110,3.37,18,11,50,4419,1349,127,510,991,0.98,96
Chicago Cubs,Wrigley Field,2243791,1990,NL,CHN,4,162,77,85,690,5600,1474,122,4.34,13,7,42,4326,1510,121,572,877,0.98,108
Philadelphia Phillies,Veterans Stadium,1992484,1990,NL,PHI,4,162,77,85,646,5535,1410,117,4.07,18,7,35,4347,1381,124,651,840,0.98,99
St. Louis Cardinals,Busch Stadium II,2573225,1990,NL,SLN,6,162,70,92,599,5462,1398,129,3.87,8,13,39,4329,1432,98,475,833,0.97,100
Cincinnati Reds,Riverfront Stadium,2400892,1990,NL,CIN,1,162,91,71,693,5525,1466,102,3.39,14,12,50,4368,1338,124,543,1029,0.98,105
Los Angeles Dodgers,Dodger Stadium,3002396,1990,NL,LAN,2,162,86,76,728,5491,1436,130,3.72,29,12,29,4326,1364,137,478,1021,0.97,98
