team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
New York Yankees,Yankee Stadium I,966328,1972,AL,NYA,4,155,79,76,557,5168,1288,134,3.05,35,19,39,4119,1306,87,419,625,0.97,97
Cleveland Indians,Cleveland Stadium,626354,1972,AL,CLE,5,156,72,84,472,5207,1220,111,2.92,47,13,24,4230,1232,123,534,846,0.98,104
Milwaukee Brewers,County Stadium,600440,1972,AL,ML4,6,156,65,91,493,5124,1204,139,3.45,37,14,32,4173,1289,116,486,740,0.97,97
Oakland Athletics,Oakland Coliseum,921323,1972,AL,OAK,1,155,93,62,604,5200,1248,130,2.58,42,23,43,4251,1170,96,418,862,0.97,95
Chicago White Sox,Comiskey Park,1177318,1972,AL,CHA,2,154,87,67,566,5083,1208,135,3.12,36,14,42,4155,1269,94,431,936,0.97,103
Minnesota Twins,Metropolitan Stadium,797901,1972,AL,MIN,3,154,77,77,537,5234,1277,159,2.84,37,17,34,4197,1188,105,444,838,0.97,105
Kansas City Royals,Municipal Stadium II,707656,1972,AL,KCA,4,154,76,78,580,5167,1317,116,3.24,44,16,29,4143,1293,85,405,801,0.98,99
California Angels,Anaheim Stadium,744190,1972,AL,CAL,5,155,75,80,454,5165,1249,114,3.06,57,18,16,4131,1109,90,620,1000,0.98,94
Texas Rangers,Arlington Stadium,662974,1972,AL,TEX,6,154,54,100,461,5029,1092,166,3.53,11,8,34,4122,1258,92,613,868,0.97,96
Pittsburgh Pirates,Three Rivers Stadium,1427460,1972,NL,PIT,1,155,96,59,691,5490,1505,136,2.81,39,15,48,4242,1282,90,433,838,0.97,99
Chicago Cubs,Wrigley Field,1299163,1972,NL,CHN,2,156,85,70,685,5247,1346,132,3.22,54,19,32,4194,1329,112,421,824,0.97,110
New York Mets,Shea Stadium,2134185,1972,NL,NYN,3,156,83,73,528,5135,1154,116,3.26,32,12,41,4242,1263,118,486,1059,0.98,97
St. Louis Cardinals,Busch Stadium II,1196894,1972,NL,SLN,4,156,75,81,568,5326,1383,140,3.42,64,13,13,4197,1290,87,531,912,0.97,99
Montreal Expos,Jarry Park,1142145,1972,NL,MON,5,156,70,86,513,5156,1205,134,3.59,39,11,23,4203,1281,103,579,888,0.97,101
Philadelphia Phillies,Veterans Stadium,1343329,1972,NL,PHI,6,156,59,97,503,5248,1240,116,3.66,43,13,15,4200,1318,117,536,927,0.98,102
Cincinnati Reds,Riverfront Stadium,1611459,1972,NL,CIN,1,154,95,59,707,5241,1317,110,3.21,25,15,60,4236,1313,129,435,806,0.98,94
Los Angeles Dodgers,Dodger Stadium,1860858,1972,NL,LAN,2,155,85,70,584,5270,1349,162,2.78,50,23,29,4209,1196,83,429,856,0.97,98
